"","Education","variable","value"
"264","High school graduate (includes equivalency)","X.67.500.to..69.999",245
"265","Some college, no degree","X.67.500.to..69.999",208
"266","Associate degree","X.67.500.to..69.999",136
"267","Bachelor's degree","X.67.500.to..69.999",419
"268","Master's degree","X.67.500.to..69.999",270
"269","Professional degree","X.67.500.to..69.999",21
"270","Doctorate degree","X.67.500.to..69.999",71
"271","Less than 9th grade","X.70.000.to..72.499",23
"272","9th to 12th grade, no diploma","X.70.000.to..72.499",37
"273","High school graduate (includes equivalency)","X.70.000.to..72.499",616
"274","Some college, no degree","X.70.000.to..72.499",489
"275","Associate degree","X.70.000.to..72.499",335
"276","Bachelor's degree","X.70.000.to..72.499",1063
"277","Master's degree","X.70.000.to..72.499",474
"278","Professional degree","X.70.000.to..72.499",55
"279","Doctorate degree","X.70.000.to..72.499",77
"280","Less than 9th grade","X.72.500.to..74.999",6
"281","9th to 12th grade, no diploma","X.72.500.to..74.999",29
"282","High school graduate (includes equivalency)","X.72.500.to..74.999",192
"283","Some college, no degree","X.72.500.to..74.999",203
"284","Associate degree","X.72.500.to..74.999",149
"285","Bachelor's degree","X.72.500.to..74.999",410
"286","Master's degree","X.72.500.to..74.999",218
"287","Professional degree","X.72.500.to..74.999",32
"288","Doctorate degree","X.72.500.to..74.999",41
"289","Less than 9th grade","X.75.000.to..77.499",12
"290","9th to 12th grade, no diploma","X.75.000.to..77.499",50
"291","High school graduate (includes equivalency)","X.75.000.to..77.499",455
"292","Some college, no degree","X.75.000.to..77.499",388
"293","Associate degree","X.75.000.to..77.499",273
"294","Bachelor's degree","X.75.000.to..77.499",991
"295","Master's degree","X.75.000.to..77.499",440
"296","Professional degree","X.75.000.to..77.499",48
"297","Doctorate degree","X.75.000.to..77.499",67
"298","Less than 9th grade","X.77.500.to..79.999",8
"299","9th to 12th grade, no diploma","X.77.500.to..79.999",20
"300","High school graduate (includes equivalency)","X.77.500.to..79.999",227
"301","Some college, no degree","X.77.500.to..79.999",161
"302","Associate degree","X.77.500.to..79.999",87
"303","Bachelor's degree","X.77.500.to..79.999",309
"304","Master's degree","X.77.500.to..79.999",179
"305","Professional degree","X.77.500.to..79.999",11
"306","Doctorate degree","X.77.500.to..79.999",27
"307","Less than 9th grade","X.80.000.to..82.499",25
"308","9th to 12th grade, no diploma","X.80.000.to..82.499",40
"309","High school graduate (includes equivalency)","X.80.000.to..82.499",455
"310","Some college, no degree","X.80.000.to..82.499",370
"311","Associate degree","X.80.000.to..82.499",257
"312","Bachelor's degree","X.80.000.to..82.499",854
"313","Master's degree","X.80.000.to..82.499",363
"314","Professional degree","X.80.000.to..82.499",73
"315","Doctorate degree","X.80.000.to..82.499",72
"316","Less than 9th grade","X.82.500.to..84.999",8
"317","9th to 12th grade, no diploma","X.82.500.to..84.999",3
"318","High school graduate (includes equivalency)","X.82.500.to..84.999",167
"319","Some college, no degree","X.82.500.to..84.999",103
"320","Associate degree","X.82.500.to..84.999",119
"321","Bachelor's degree","X.82.500.to..84.999",311
"322","Master's degree","X.82.500.to..84.999",222
"323","Professional degree","X.82.500.to..84.999",16
"324","Doctorate degree","X.82.500.to..84.999",36
"325","Less than 9th grade","X.85.000.to..87.499",2
"326","9th to 12th grade, no diploma","X.85.000.to..87.499",31
"327","High school graduate (includes equivalency)","X.85.000.to..87.499",211
"328","Some college, no degree","X.85.000.to..87.499",170
"329","Associate degree","X.85.000.to..87.499",168
"330","Bachelor's degree","X.85.000.to..87.499",508
"331","Master's degree","X.85.000.to..87.499",313
"332","Professional degree","X.85.000.to..87.499",28
"333","Doctorate degree","X.85.000.to..87.499",47
"334","Less than 9th grade","X.87.500.to..89.999",7
"335","9th to 12th grade, no diploma","X.87.500.to..89.999",11
"336","High school graduate (includes equivalency)","X.87.500.to..89.999",113
"337","Some college, no degree","X.87.500.to..89.999",155
"338","Associate degree","X.87.500.to..89.999",97
"339","Bachelor's degree","X.87.500.to..89.999",209
"340","Master's degree","X.87.500.to..89.999",135
"341","Professional degree","X.87.500.to..89.999",26
"342","Doctorate degree","X.87.500.to..89.999",35
"343","Less than 9th grade","X.90.000.to..92.499",14
"344","9th to 12th grade, no diploma","X.90.000.to..92.499",23
"345","High school graduate (includes equivalency)","X.90.000.to..92.499",332
"346","Some college, no degree","X.90.000.to..92.499",201
"347","Associate degree","X.90.000.to..92.499",124
"348","Bachelor's degree","X.90.000.to..92.499",598
"349","Master's degree","X.90.000.to..92.499",322
"350","Professional degree","X.90.000.to..92.499",43
"351","Doctorate degree","X.90.000.to..92.499",69
"352","Less than 9th grade","X.92.500.to..94.999",4
"353","9th to 12th grade, no diploma","X.92.500.to..94.999",9
"354","High school graduate (includes equivalency)","X.92.500.to..94.999",94
"355","Some college, no degree","X.92.500.to..94.999",86
"356","Associate degree","X.92.500.to..94.999",48
"357","Bachelor's degree","X.92.500.to..94.999",226
"358","Master's degree","X.92.500.to..94.999",158
"359","Professional degree","X.92.500.to..94.999",20
"360","Doctorate degree","X.92.500.to..94.999",34
"361","Less than 9th grade","X.95.000.to..97.499",6
"362","9th to 12th grade, no diploma","X.95.000.to..97.499",8
"363","High school graduate (includes equivalency)","X.95.000.to..97.499",93
"364","Some college, no degree","X.95.000.to..97.499",111
"365","Associate degree","X.95.000.to..97.499",62
"366","Bachelor's degree","X.95.000.to..97.499",398
"367","Master's degree","X.95.000.to..97.499",211
"368","Professional degree","X.95.000.to..97.499",29
"369","Doctorate degree","X.95.000.to..97.499",50
"370","Less than 9th grade","X.97.500.to..99.999",0
"371","9th to 12th grade, no diploma","X.97.500.to..99.999",9
"372","High school graduate (includes equivalency)","X.97.500.to..99.999",99
"373","Some college, no degree","X.97.500.to..99.999",83
"374","Associate degree","X.97.500.to..99.999",57
"375","Bachelor's degree","X.97.500.to..99.999",287
"376","Master's degree","X.97.500.to..99.999",127
"377","Professional degree","X.97.500.to..99.999",21
"378","Doctorate degree","X.97.500.to..99.999",37
"379","Less than 9th grade","X.100.000.and.over",95
"380","9th to 12th grade, no diploma","X.100.000.and.over",160
"381","High school graduate (includes equivalency)","X.100.000.and.over",1701
"382","Some college, no degree","X.100.000.and.over",1831
"383","Associate degree","X.100.000.and.over",1246
"384","Bachelor's degree","X.100.000.and.over",6924
"385","Master's degree","X.100.000.and.over",4054
"386","Professional degree","X.100.000.and.over",1508
"387","Doctorate degree","X.100.000.and.over",1344
"388","Less than 9th grade","Median.income",15474
"389","9th to 12th grade, no diploma","Median.income",16389
"390","High school graduate (includes equivalency)","Median.income",25331
"391","Some college, no degree","Median.income",30088
"392","Associate degree","Median.income",33604
"393","Bachelor's degree","Median.income",48320
"394","Master's degree","Median.income",60057
"395","Professional degree","Median.income",89069
"396","Doctorate degree","Median.income",76434
"397","Less than 9th grade","Mean.income",20791
"398","9th to 12th grade, no diploma","Mean.income",23234
"399","High school graduate (includes equivalency)","Mean.income",32457
"400","Some college, no degree","Mean.income",39042
"401","Associate degree","Mean.income",42508
"402","Bachelor's degree","Mean.income",62240
"403","Master's degree","Mean.income",74471
"404","Professional degree","Mean.income",129644
"405","Doctorate degree","Mean.income",101732
"406","Less than 9th grade","Gini.ratio",0.437
"407","9th to 12th grade, no diploma","Gini.ratio",0.464
"408","High school graduate (includes equivalency)","Gini.ratio",0.439
"409","Some college, no degree","Gini.ratio",0.454
"410","Associate degree","Gini.ratio",0.44
"411","Bachelor's degree","Gini.ratio",0.456
"412","Master's degree","Gini.ratio",0.437
"413","Professional degree","Gini.ratio",0.5
"414","Doctorate degree","Gini.ratio",0.455
