"","Age","variable","value"
"333","60 to 64 years","X.62.500.to..64.999",174
"334","65 to 69 years","X.62.500.to..64.999",157
"335","70 to 74 years","X.62.500.to..64.999",80
"336","75 years and over","X.62.500.to..64.999",125
"337","15 to 24 years","X.65.000.to..67.499",52
"338","25 to 29 years","X.65.000.to..67.499",273
"339","30 to 34 years","X.65.000.to..67.499",382
"340","35 to 39 years","X.65.000.to..67.499",334
"341","40 to 44 years","X.65.000.to..67.499",342
"342","45 to 49 years","X.65.000.to..67.499",376
"343","50 to 54 years","X.65.000.to..67.499",368
"344","55 to 59 years","X.65.000.to..67.499",300
"345","60 to 64 years","X.65.000.to..67.499",186
"346","65 to 69 years","X.65.000.to..67.499",157
"347","70 to 74 years","X.65.000.to..67.499",119
"348","75 years and over","X.65.000.to..67.499",133
"349","15 to 24 years","X.67.500.to..69.999",24
"350","25 to 29 years","X.67.500.to..69.999",79
"351","30 to 34 years","X.67.500.to..69.999",130
"352","35 to 39 years","X.67.500.to..69.999",118
"353","40 to 44 years","X.67.500.to..69.999",157
"354","45 to 49 years","X.67.500.to..69.999",151
"355","50 to 54 years","X.67.500.to..69.999",154
"356","55 to 59 years","X.67.500.to..69.999",163
"357","60 to 64 years","X.67.500.to..69.999",149
"358","65 to 69 years","X.67.500.to..69.999",127
"359","70 to 74 years","X.67.500.to..69.999",70
"360","75 years and over","X.67.500.to..69.999",100
"361","15 to 24 years","X.70.000.to..72.499",59
"362","25 to 29 years","X.70.000.to..72.499",278
"363","30 to 34 years","X.70.000.to..72.499",308
"364","35 to 39 years","X.70.000.to..72.499",437
"365","40 to 44 years","X.70.000.to..72.499",417
"366","45 to 49 years","X.70.000.to..72.499",383
"367","50 to 54 years","X.70.000.to..72.499",384
"368","55 to 59 years","X.70.000.to..72.499",332
"369","60 to 64 years","X.70.000.to..72.499",242
"370","65 to 69 years","X.70.000.to..72.499",162
"371","70 to 74 years","X.70.000.to..72.499",94
"372","75 years and over","X.70.000.to..72.499",131
"373","15 to 24 years","X.72.500.to..74.999",18
"374","25 to 29 years","X.72.500.to..74.999",67
"375","30 to 34 years","X.72.500.to..74.999",126
"376","35 to 39 years","X.72.500.to..74.999",106
"377","40 to 44 years","X.72.500.to..74.999",139
"378","45 to 49 years","X.72.500.to..74.999",139
"379","50 to 54 years","X.72.500.to..74.999",152
"380","55 to 59 years","X.72.500.to..74.999",148
"381","60 to 64 years","X.72.500.to..74.999",162
"382","65 to 69 years","X.72.500.to..74.999",125
"383","70 to 74 years","X.72.500.to..74.999",46
"384","75 years and over","X.72.500.to..74.999",72
"385","15 to 24 years","X.75.000.to..77.499",28
"386","25 to 29 years","X.75.000.to..77.499",224
"387","30 to 34 years","X.75.000.to..77.499",331
"388","35 to 39 years","X.75.000.to..77.499",282
"389","40 to 44 years","X.75.000.to..77.499",312
"390","45 to 49 years","X.75.000.to..77.499",339
"391","50 to 54 years","X.75.000.to..77.499",321
"392","55 to 59 years","X.75.000.to..77.499",343
"393","60 to 64 years","X.75.000.to..77.499",254
"394","65 to 69 years","X.75.000.to..77.499",153
"395","70 to 74 years","X.75.000.to..77.499",81
"396","75 years and over","X.75.000.to..77.499",84
"397","15 to 24 years","X.77.500.to..79.999",16
"398","25 to 29 years","X.77.500.to..79.999",53
"399","30 to 34 years","X.77.500.to..79.999",78
"400","35 to 39 years","X.77.500.to..79.999",129
"401","40 to 44 years","X.77.500.to..79.999",146
"402","45 to 49 years","X.77.500.to..79.999",106
"403","50 to 54 years","X.77.500.to..79.999",131
"404","55 to 59 years","X.77.500.to..79.999",123
"405","60 to 64 years","X.77.500.to..79.999",72
"406","65 to 69 years","X.77.500.to..79.999",86
"407","70 to 74 years","X.77.500.to..79.999",56
"408","75 years and over","X.77.500.to..79.999",52
"409","15 to 24 years","X.80.000.to..82.499",64
"410","25 to 29 years","X.80.000.to..82.499",174
"411","30 to 34 years","X.80.000.to..82.499",308
"412","35 to 39 years","X.80.000.to..82.499",290
"413","40 to 44 years","X.80.000.to..82.499",291
"414","45 to 49 years","X.80.000.to..82.499",360
"415","50 to 54 years","X.80.000.to..82.499",350
"416","55 to 59 years","X.80.000.to..82.499",281
"417","60 to 64 years","X.80.000.to..82.499",247
"418","65 to 69 years","X.80.000.to..82.499",123
"419","70 to 74 years","X.80.000.to..82.499",27
"420","75 years and over","X.80.000.to..82.499",56
"421","15 to 24 years","X.82.500.to..84.999",16
"422","25 to 29 years","X.82.500.to..84.999",34
"423","30 to 34 years","X.82.500.to..84.999",73
"424","35 to 39 years","X.82.500.to..84.999",87
"425","40 to 44 years","X.82.500.to..84.999",117
"426","45 to 49 years","X.82.500.to..84.999",141
"427","50 to 54 years","X.82.500.to..84.999",109
"428","55 to 59 years","X.82.500.to..84.999",139
"429","60 to 64 years","X.82.500.to..84.999",107
"430","65 to 69 years","X.82.500.to..84.999",80
"431","70 to 74 years","X.82.500.to..84.999",51
"432","75 years and over","X.82.500.to..84.999",48
"433","15 to 24 years","X.85.000.to..87.499",50
"434","25 to 29 years","X.85.000.to..87.499",139
"435","30 to 34 years","X.85.000.to..87.499",132
"436","35 to 39 years","X.85.000.to..87.499",152
"437","40 to 44 years","X.85.000.to..87.499",188
"438","45 to 49 years","X.85.000.to..87.499",158
"439","50 to 54 years","X.85.000.to..87.499",181
"440","55 to 59 years","X.85.000.to..87.499",181
"441","60 to 64 years","X.85.000.to..87.499",153
"442","65 to 69 years","X.85.000.to..87.499",98
"443","70 to 74 years","X.85.000.to..87.499",38
"444","75 years and over","X.85.000.to..87.499",58
"445","15 to 24 years","X.87.500.to..89.999",3
"446","25 to 29 years","X.87.500.to..89.999",31
"447","30 to 34 years","X.87.500.to..89.999",53
"448","35 to 39 years","X.87.500.to..89.999",93
"449","40 to 44 years","X.87.500.to..89.999",100
"450","45 to 49 years","X.87.500.to..89.999",95
"451","50 to 54 years","X.87.500.to..89.999",74
"452","55 to 59 years","X.87.500.to..89.999",88
"453","60 to 64 years","X.87.500.to..89.999",103
"454","65 to 69 years","X.87.500.to..89.999",69
"455","70 to 74 years","X.87.500.to..89.999",34
"456","75 years and over","X.87.500.to..89.999",47
"457","15 to 24 years","X.90.000.to..92.499",13
"458","25 to 29 years","X.90.000.to..92.499",68
"459","30 to 34 years","X.90.000.to..92.499",168
"460","35 to 39 years","X.90.000.to..92.499",213
"461","40 to 44 years","X.90.000.to..92.499",212
"462","45 to 49 years","X.90.000.to..92.499",258
"463","50 to 54 years","X.90.000.to..92.499",217
"464","55 to 59 years","X.90.000.to..92.499",237
"465","60 to 64 years","X.90.000.to..92.499",158
